City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Lata,PT,2021-11-07 01:03:58,40.1629,-8.3327,47.05,70,6,4.47
160,Severo-Kurilsk,RU,2021-11-07 01:03:59,50.6789,156.125,39.15,68,25,9.82
161,Pochutla,MX,2021-11-07 01:03:59,15.7432,-96.4661,81.45,88,27,3.4
162,Westport,US,2021-11-07 01:01:04,41.1415,-73.3579,46.94,56,0,1.92
163,Constitucion,CL,2021-11-07 01:01:26,-35.3333,-72.4167,50.38,94,11,9.35
164,Palauig,PH,2021-11-07 01:04:00,15.435,119.9045,85.5,67,50,1.59
165,Svetlaya,RU,2021-11-07 01:04:01,46.5389,138.3297,36.81,27,21,9.01
166,Rubiataba,BR,2021-11-07 01:04:01,-15.1644,-49.8033,73.2,81,44,2.62
167,Sao Filipe,CV,2021-11-07 01:04:02,14.8961,-24.4956,78.75,72,57,9.33
168,Coquimbo,CL,2021-11-07 01:03:16,-29.9533,-71.3436,55.13,87,0,6.91
169,Am Timan,TD,2021-11-07 01:02:13,11.0297,20.2827,79.57,35,1,3.91
170,Northam,GB,2021-11-07 01:04:03,51.0333,-4.2167,53.02,79,55,19.28
171,Bhindar,IN,2021-11-07 01:04:03,24.5,74.1833,53.85,43,93,4.65
172,Huanren,CN,2021-11-07 01:04:03,41.2647,125.3667,40.46,76,100,3.44
173,Lebu,CL,2021-11-07 01:04:04,-37.6167,-73.65,52.23,87,34,14.12
174,Nouadhibou,MR,2021-11-07 01:04:04,20.931,-17.0347,67.15,78,0,18.7
175,Ratnagiri,IN,2021-11-07 01:04:05,16.9833,73.3,77.83,80,100,4.59
176,Vao,NC,2021-11-07 01:04:05,-22.6667,167.4833,69.48,61,0,8.75
177,East London,ZA,2021-11-07 01:04:06,-33.0153,27.9116,64.26,90,100,3.24
178,Okhotsk,RU,2021-11-07 01:04:06,59.3833,143.3,12.02,82,100,28.01
179,Santa Cruz Del Sur,CU,2021-11-07 01:04:07,20.7147,-77.9956,77.04,86,100,7.63
180,Vydrino,RU,2021-11-07 01:05:07,51.485,104.8461,30.61,70,100,4.54
181,Satara,IN,2021-11-07 01:05:08,17.6833,73.9833,67.01,68,81,2.46
182,Havoysund,NO,2021-11-07 01:05:08,70.9963,24.6622,29.28,72,100,5.88
183,Ust-Ordynskiy,RU,2021-11-07 01:05:08,52.805,104.7508,21.04,84,100,2.35
184,Faanui,PF,2021-11-07 01:05:09,-16.4833,-151.75,80.37,69,98,4.12
185,Guayaramerin,BO,2021-11-07 01:05:10,-10.8368,-65.3614,74.17,93,100,3.18
186,Mushie,CD,2021-11-07 01:05:10,-3.0167,16.9,71.46,97,100,3.04
187,Los Algarrobos,PA,2021-11-07 01:05:10,8.5,-82.4333,75.02,91,99,1.74
188,Zelenoborskiy,RU,2021-11-07 01:05:11,66.845,32.3622,33.87,80,100,10.78
189,Jizan,SA,2021-11-07 01:05:11,17.3333,42.6667,82.6,61,0,3.22
190,Port Lincoln,AU,2021-11-07 01:05:12,-34.7333,135.8667,59.16,54,92,6.93
191,Cabo San Lucas,MX,2021-11-07 01:01:07,22.8909,-109.9124,80.06,68,30,6.11
192,Oranjestad,AW,2021-11-07 01:05:12,12.524,-70.027,82.35,78,20,20.71
193,Ondo,NG,2021-11-07 01:05:13,7.1,4.8333,73.04,98,100,1.88
194,Saskylakh,RU,2021-11-07 01:05:13,71.9167,114.0833,-1.75,98,31,7.54
195,Mackenzie,CA,2021-11-07 01:05:14,55.2999,-123.1698,32.7,90,100,3.24
196,Hovd,MN,2021-11-07 01:05:14,48.0056,91.6419,14.47,36,100,1.77
197,Saint George,US,2021-11-07 01:00:37,37.1041,-113.5841,72.95,29,1,1.99
198,Wainwright,CA,2021-11-07 01:00:52,52.839,-110.8572,36.61,48,100,4.74
199,Richards Bay,ZA,2021-11-07 01:05:15,-28.783,32.0377,68.61,90,100,2.59
200,Nome,US,2021-11-07 01:05:16,64.5011,-165.4064,21.27,68,90,0.0
201,Sergeyevka,KZ,2021-11-07 01:05:16,53.88,67.4158,31.12,39,100,19.89
202,Cody,US,2021-11-07 01:04:01,44.5263,-109.0565,52.09,39,1,9.22
203,Rio Branco,BR,2021-11-07 01:05:17,-9.9747,-67.81,79.41,83,40,6.91
204,Nha Trang,VN,2021-11-07 01:04:06,12.25,109.1833,80.6,80,95,5.23
